Theme 1,,Theme 2,,Theme 3,,Theme 4,,Theme 6,,
2_children_kids_teach_rail safety,448,8_railsafetymonth_railsafetyweek_savelivestell_usrailsafetyweek,247,12_illegal_dangerous_trespassing_property,201,170_selfie_selfie tracks_stayoffthetracks_sweet selfie,30,23_canada_railsafety canada_canada railways_canadian,,
33_teach_children railsafety_children_kids,120,10_safety week_week_rail safety_safety,226,80_deaths_rail related_related_related deaths,65,45_headphones_oneearout_earbuds_wearing,105,3_railtransport australia_events railtransport_australia_railpage,,
114_railsafety education_education_education thanks_schools,48,13_beat train_train railsafety_try beat_train,198,82_railroad trespassing_trespassing_year high_trespassing fatalities,64,316_remove headphones_headphones_remove_headphones near,80,26_india_indianrailways_indian_mumbai,,
total,616,15_didntseeitcoming_railsafety didntseeitcoming_public safety_safety programme,183,116_derailment_derailment railsafety_train derailment_train derails,46,Total,215,52_railtransport_china_transport_logistics,,
,,16_safety_rail safety_rail_report,179,134_railroad trespassing_suicide_grant_trespassing enforcement,39,,,56_latest_latest north_american rail_rail news,,
,,24_tracksarefortrains_stayoffthetracks_safetysaturday_tracks,156,192_crossing trespassing_trespassing incidents_seriously injured_railway crossing,27,,,,,
,,32_seetracksthinktrain_railsafety seetracksthinktrain_seetracksthinktrain railsafety_message,120,27_notrespassing_notrespassing notrespassing_tml_infrabel,138,,,,,
,,34_railsafety railsafety_practice_practice railsafety_know railsafety,119,308_trespassing sign_trespassing_sign_notrespassing,17,,,,,
,,37_stayoffthetracks_staysafe stayoffthetracks_staysafe_stayoffthetracks stayoffthetracks,113,41_notrespassing_abandoned_photography_decay,109,,,,,
,,38_railsafety message_message_important railsafety_sharing,110,Total,706,,,,,
,,54_railsafety partnership_partnership_commitment railsafety_commitment,95,,,,,,,
,,59_amp_usrailsafetyweek amp_amp year_usrailsafetyweek,89,,,,,,,
,,91_railroadsafety_railroadsafety railroadsafety_railroadsafety check_unionpacific,59,,,,,,,
,,140_safe railsafety_railsafety stay_stay safe_safe,38,,,,,,,
,,256_railsafety railroadtracks_railroadtracks stoptracktragedies_railroadtracks_covered railsafety,22,,,,,,,
,,49_railsafety thanks_support railsafety_thanks_support,98,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Total,2052,,,,,,,
